ACCESSION	TargetID	SYMBOL	Ratio G-6h / Sh 6h	Log2 Ratio G-6h / Sh 6h	Ratio G+6h / Sh6h	Log2 Ratio G+6h / Sh6h	Ratio G-24h / Sh24h	Log2 Ratio G-24h / Sh24h	Ratio G+24h / Sh24h	Log2 G+24h / Sh24h	DEFINITION
NM_020232.3	ILMN_18069	TNFSF5IP1	1.06	0.08	1.10	0.14	0.92	-0.12	0.97	-0.04	Homo sapiens tumor necrosis factor superfamily, member 5-induced protein 1 (TNFSF5IP1), mRNA.
NM_005693.1	ILMN_1807	NR1H3	0.30	-1.75	0.59	-0.76	1.12	0.16	0.76	-0.40	Homo sapiens nuclear receptor subfamily 1, group H, member 3 (NR1H3), mRNA.
NM_007272.2	ILMN_18070	CTRC	0.30	-1.73	0.96	-0.06	1.47	0.55	NaN	NaN	Homo sapiens chymotrypsin C (caldecrin) (CTRC), mRNA.
NM_001654.1	ILMN_18073	ARAF	0.55	-0.86	0.81	-0.30	0.86	-0.22	0.87	-0.21	Homo sapiens v-raf murine sarcoma 3611 viral oncogene homolog (ARAF), mRNA.
NM_005763.2	ILMN_18079	AASS	NaN	NaN	0.51	-0.96	3.34	1.74	5.17	2.37	Homo sapiens aminoadipate-semialdehyde synthase (AASS), mRNA.
NM_015080.2	ILMN_18081	NRXN2	NaN	NaN	0.47	-1.08	0.56	-0.83	0.22	-2.17	Homo sapiens neurexin 2 (NRXN2), transcript variant alpha-1, mRNA.
NM_016027.1	ILMN_18082	LACTB2	0.38	-1.41	0.66	-0.59	NaN	NaN	NaN	NaN	Homo sapiens lactamase, beta 2 (LACTB2), mRNA.
NM_016070.2	ILMN_18089	MRPS23	1.11	0.15	1.02	0.03	0.68	-0.55	0.72	-0.48	Homo sapiens mitochondrial ribosomal protein S23 (MRPS23), nuclear gene encoding mitochondrial protein, mRNA.
NM_000294.1	ILMN_1809	PHKG2	5.29	2.40	5.30	2.41	1.56	0.64	1.89	0.92	Homo sapiens phosphorylase kinase, gamma 2 (testis) (PHKG2), mRNA.
NM_003909.2	ILMN_18093	CPNE3	0.56	-0.83	0.60	-0.74	0.88	-0.19	0.76	-0.39	Homo sapiens copine III (CPNE3), mRNA.
NM_006854.2	ILMN_1810	KDELR2	0.94	-0.10	0.82	-0.29	0.59	-0.77	0.53	-0.93	Homo sapiens KDEL (Lys-Asp-Glu-Leu) endoplasmic reticulum protein retention receptor 2 (KDELR2), mRNA.
NM_194272.1	ILMN_18109	RBPMS2	0.10	-3.37	0.11	-3.19	0.99	-0.01	0.85	-0.24	Homo sapiens RNA binding protein with multiple splicing 2 (RBPMS2), mRNA.
NM_001040.2	ILMN_18112	SHBG	0.45	-1.15	0.89	-0.17	0.61	-0.71	0.29	-1.80	Homo sapiens sex hormone-binding globulin (SHBG), mRNA.
NM_017421.2	ILMN_18113	COQ3	0.63	-0.66	0.83	-0.26	0.74	-0.43	0.76	-0.40	Homo sapiens coenzyme Q3 homolog, methyltransferase (yeast) (COQ3), mRNA.
NM_032299.2	ILMN_18117	DCUN1D5	1.16	0.21	1.10	0.14	0.91	-0.14	0.94	-0.09	Homo sapiens DCN1, defective in cullin neddylation 1, domain containing 5 (S. cerevisiae) (DCUN1D5), mRNA.
NM_024896.2	ILMN_18118	KIAA1815	NaN	NaN	NaN	NaN	0.73	-0.46	0.86	-0.21	Homo sapiens KIAA1815 (KIAA1815), mRNA.
NM_015466.1	ILMN_1812	PTPN23	0.99	-0.02	0.86	-0.21	0.70	-0.52	0.68	-0.56	Homo sapiens protein tyrosine phosphatase, non-receptor type 23 (PTPN23), mRNA.
NM_018181.4	ILMN_18125	ZNF532	NaN	NaN	NaN	NaN	1.54	0.62	1.56	0.64	Homo sapiens zinc finger protein 532 (ZNF532), mRNA.
NM_012171.1	ILMN_18131	TSPAN17	1.46	0.54	1.41	0.49	1.01	0.01	0.84	-0.25	Homo sapiens tetraspanin 17 (TSPAN17), transcript variant 1, mRNA.
NM_017946.2	ILMN_18132	FKBP14	1.40	0.49	0.87	-0.21	0.31	-1.67	0.41	-1.28	Homo sapiens FK506 binding protein 14, 22 kDa (FKBP14), mRNA.
NM_001010980.2	ILMN_18136	C1orf130	1.26	0.34	1.14	0.19	1.10	0.14	1.09	0.13	Homo sapiens chromosome 1 open reading frame 130 (C1orf130), mRNA.
NM_020131.3	ILMN_18139	UBQLN4	0.69	-0.53	0.70	-0.51	0.92	-0.12	1.08	0.11	Homo sapiens ubiquilin 4 (UBQLN4), mRNA.
NM_018081.1	ILMN_1814	WDR79	0.73	-0.45	0.75	-0.41	1.50	0.59	1.32	0.40	Homo sapiens WD repeat domain 79 (WDR79), mRNA.
NM_153226.1	ILMN_18140	TMEM20	0.22	-2.16	0.39	-1.37	0.69	-0.53	0.57	-0.82	Homo sapiens transmembrane protein 20 (TMEM20), mRNA.
NM_007268.1	ILMN_18144	VSIG4	0.36	-1.46	0.85	-0.24	0.47	-1.10	0.20	-2.31	Homo sapiens V-set and immunoglobulin domain containing 4 (VSIG4), mRNA.
NM_022763.2	ILMN_18147	FNDC3B	1.31	0.39	1.13	0.17	0.60	-0.73	0.65	-0.62	Homo sapiens fibronectin type III domain containing 3B (FNDC3B), mRNA.
NM_001028.2	ILMN_1815	RPS25	1.32	0.40	1.22	0.29	1.08	0.12	1.22	0.28	Homo sapiens ribosomal protein S25 (RPS25), mRNA.
NM_001917.3	ILMN_18156	DAO	NaN	NaN	0.69	-0.53	NaN	NaN	NaN	NaN	Homo sapiens D-amino-acid oxidase (DAO), mRNA.
NM_000108.2	ILMN_18159	DLD	0.53	-0.92	0.57	-0.82	0.80	-0.32	0.76	-0.39	Homo sapiens dihydrolipoamide dehydrogenase (E3 component of pyruvate dehydrogenase complex, 2-oxo-glutarate complex, branched chain keto acid dehydrogenase complex) (DLD), mRNA.
NM_014470.2	ILMN_18161	RND1	39.89	5.32	16.29	4.03	3.79	1.92	3.81	1.93	Homo sapiens Rho family GTPase 1 (RND1), mRNA.
NM_006066.2	ILMN_18164	AKR1A1	0.65	-0.63	1.02	0.03	0.52	-0.94	0.63	-0.67	Homo sapiens aldo-keto reductase family 1, member A1 (aldehyde reductase) (AKR1A1), transcript variant 1, mRNA.
NM_003487.2	ILMN_18165	TAF15	1.10	0.14	0.98	-0.03	1.00	-0.01	0.78	-0.36	Homo sapiens TAF15 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 68kDa (TAF15), transcript variant 2, mRNA.
NM_032565.1	ILMN_18169	EBPL	0.41	-1.30	0.61	-0.70	0.52	-0.94	0.35	-1.50	Homo sapiens emopamil binding protein-like (EBPL), mRNA.
NM_021983.4	ILMN_18172	HLA-DRB4	0.65	-0.62	0.80	-0.33	0.99	-0.02	1.35	0.43	Homo sapiens major histocompatibility complex, class II, DR beta 4 (HLA-DRB4), mRNA.
NM_003876.1	ILMN_18178	TMEM11	1.17	0.23	1.21	0.28	1.36	0.44	1.22	0.28	Homo sapiens transmembrane protein 11 (TMEM11), mRNA.
NM_017797.3	ILMN_18181	BTBD2	NaN	NaN	NaN	NaN	1.04	0.05	0.59	-0.75	Homo sapiens BTB (POZ) domain containing 2 (BTBD2), mRNA.
NM_000858.4	ILMN_18191	GUK1	0.77	-0.37	0.97	-0.04	0.98	-0.03	1.32	0.40	Homo sapiens guanylate kinase 1 (GUK1), mRNA.
NM_021805.1	ILMN_18194	SIGIRR	NaN	NaN	NaN	NaN	0.86	-0.22	NaN	NaN	Homo sapiens single immunoglobulin and toll-interleukin 1 receptor (TIR) domain (SIGIRR), mRNA.
NM_015084.1	ILMN_18202	MRPS27	0.95	-0.07	1.11	0.16	1.04	0.05	1.06	0.09	Homo sapiens mitochondrial ribosomal protein S27 (MRPS27), nuclear gene encoding mitochondrial protein, mRNA.
NM_016033.1	ILMN_18203	FAM82B	0.76	-0.39	0.81	-0.31	0.93	-0.11	0.83	-0.26	Homo sapiens family with sequence similarity 82, member B (FAM82B), mRNA.
NM_018477.1	ILMN_18205	ACTR10	0.72	-0.48	0.60	-0.74	0.99	-0.02	0.90	-0.15	Homo sapiens actin-related protein 10 homolog (S. cerevisiae) (ACTR10), mRNA.
NM_005772.2	ILMN_18208	RCL1	1.58	0.66	1.12	0.16	1.06	0.08	1.23	0.30	Homo sapiens RNA terminal phosphate cyclase-like 1 (RCL1), mRNA.
NM_013328.2	ILMN_18209	PYCR2	0.82	-0.28	0.71	-0.49	0.83	-0.27	0.65	-0.62	Homo sapiens pyrroline-5-carboxylate reductase family, member 2 (PYCR2), mRNA.
NM_173470.1	ILMN_18227	TMEM32	1.10	0.13	1.07	0.10	1.25	0.32	1.28	0.36	Homo sapiens transmembrane protein 32 (TMEM32), mRNA.
NM_000506.2	ILMN_18231	F2	1.05	0.06	1.06	0.09	0.80	-0.32	0.77	-0.37	Homo sapiens coagulation factor II (thrombin) (F2), mRNA.
NM_198279.1	ILMN_18232	CXorf23	NaN	NaN	NaN	NaN	0.92	-0.11	0.78	-0.36	Homo sapiens chromosome X open reading frame 23 (CXorf23), mRNA.
NM_015698.3	ILMN_18236	GPKOW	0.83	-0.26	0.80	-0.33	0.99	-0.01	1.11	0.15	Homo sapiens G patch domain and KOW motifs (GPKOW), mRNA.
NM_001013641.1	ILMN_18250	LOC388595	NaN	NaN	0.39	-1.34	2.15	1.11	2.54	1.34	Homo sapiens similar to Hypothetical protein MGC37938 (LOC388595), mRNA.
NM_005226.2	ILMN_18256	EDG3	NaN	NaN	NaN	NaN	0.72	-0.48	NaN	NaN	Homo sapiens endothelial differentiation, sphingolipid G-protein-coupled receptor, 3 (EDG3), mRNA.
NM_003496.1	ILMN_18258	TRRAP	0.86	-0.21	0.72	-0.48	1.15	0.21	1.03	0.04	Homo sapiens transformation/transcription domain-associated protein (TRRAP), mRNA.
NM_000603.3	ILMN_18267	NOS3	2.21	1.15	NaN	NaN	4.42	2.14	4.72	2.24	Homo sapiens nitric oxide synthase 3 (endothelial cell) (NOS3), mRNA.
NM_015711.1	ILMN_18273	GLTSCR1	2.00	1.00	2.02	1.01	1.42	0.50	1.10	0.14	Homo sapiens glioma tumor suppressor candidate region gene 1 (GLTSCR1), mRNA.
NM_005319.3	ILMN_18282	HIST1H1C	0.59	-0.76	0.74	-0.44	4.37	2.13	5.23	2.39	Homo sapiens histone 1, H1c (HIST1H1C), mRNA.
NM_170662.3	ILMN_18286	CBLB	2.23	1.16	1.70	0.77	1.43	0.51	1.72	0.78	Homo sapiens Cas-Br-M (murine) ecotropic retroviral transforming sequence b (CBLB), mRNA.
NM_012388.2	ILMN_18292	PLDN	2.23	1.15	1.48	0.56	0.78	-0.35	0.88	-0.19	Homo sapiens pallidin homolog (mouse) (PLDN), mRNA.
NM_000127.2	ILMN_18298	EXT1	1.54	0.62	1.42	0.51	0.80	-0.33	0.65	-0.63	Homo sapiens exostoses (multiple) 1 (EXT1), mRNA.
NM_000191.2	ILMN_18301	HMGCL	0.27	-1.91	0.49	-1.02	0.66	-0.60	0.60	-0.74	Homo sapiens 3-hydroxymethyl-3-methylglutaryl-Coenzyme A lyase (hydroxymethylglutaricaciduria) (HMGCL), mRNA.
NM_015399.3	ILMN_18305	BRMS1	NaN	NaN	NaN	NaN	NaN	NaN	0.89	-0.16	Homo sapiens breast cancer metastasis suppressor 1 (BRMS1), transcript variant 1, mRNA.
NM_007169.2	ILMN_18309	PEMT	0.74	-0.44	0.68	-0.56	0.46	-1.13	0.40	-1.34	Homo sapiens phosphatidylethanolamine N-methyltransferase (PEMT), nuclear gene encoding mitochondrial protein, transcript variant 2, mRNA.
NM_012426.3	ILMN_18316	SF3B3	1.11	0.15	1.63	0.70	1.05	0.08	1.20	0.26	Homo sapiens splicing factor 3b, subunit 3, 130kDa (SF3B3), mRNA.
NM_005583.3	ILMN_18317	LYL1	NaN	NaN	NaN	NaN	1.46	0.55	1.96	0.97	Homo sapiens lymphoblastic leukemia derived sequence 1 (LYL1), mRNA.
NM_002072.2	ILMN_18320	GNAQ	2.09	1.06	1.20	0.27	0.77	-0.38	0.58	-0.80	Homo sapiens guanine nucleotide binding protein (G protein), q polypeptide (GNAQ), mRNA.
NM_003818.2	ILMN_18323	CDS2	0.79	-0.33	0.55	-0.86	1.85	0.89	1.87	0.90	Homo sapiens CDP-diacylglycerol synthase (phosphatidate cytidylyltransferase) 2 (CDS2), mRNA.
NM_016034.2	ILMN_18328	MRPS2	0.96	-0.07	0.92	-0.12	0.98	-0.03	0.97	-0.05	Homo sapiens mitochondrial ribosomal protein S2 (MRPS2), nuclear gene encoding mitochondrial protein, mRNA.
NM_032483.2	ILMN_1833	PPAPDC1B	0.95	-0.07	0.90	-0.15	0.64	-0.64	0.79	-0.35	Homo sapiens phosphatidic acid phosphatase type 2 domain containing 1B (PPAPDC1B), mRNA.
NM_015288.4	ILMN_18343	PHF15	1.13	0.18	1.06	0.08	1.20	0.27	1.35	0.44	Homo sapiens PHD finger protein 15 (PHF15), mRNA.
NM_198283.1	ILMN_18359	EGFL11	1.68	0.75	1.38	0.47	1.02	0.02	0.99	-0.01	Homo sapiens EGF-like-domain, multiple 11 (EGFL11), mRNA.
NM_020188.2	ILMN_1837	C16orf61	0.51	-0.96	0.59	-0.75	1.29	0.37	1.39	0.48	Homo sapiens chromosome 16 open reading frame 61 (C16orf61), mRNA.
NM_152903.4	ILMN_18378	KBTBD6	NaN	NaN	NaN	NaN	0.75	-0.41	0.62	-0.70	Homo sapiens kelch repeat and BTB (POZ) domain containing 6 (KBTBD6), mRNA.
NM_024632.3	ILMN_18384	NS4ATP2	0.90	-0.14	0.94	-0.09	1.16	0.21	1.45	0.54	Homo sapiens NS4ATP2 (NS4ATP2), mRNA.
NM_001032372.1	ILMN_18391	ZNF226	1.74	0.80	1.34	0.42	1.05	0.07	1.09	0.12	Homo sapiens zinc finger protein 226 (ZNF226), transcript variant 1, mRNA.
NM_213619.1	ILMN_18395	ATP6V1H	0.84	-0.26	0.85	-0.23	1.20	0.27	1.04	0.05	Homo sapiens ATPase, H+ transporting, lysosomal 50/57kDa, V1 subunit H (ATP6V1H), transcript variant 2, mRNA.
NM_021960.3	ILMN_18397	MCL1	3.30	1.72	2.33	1.22	0.97	-0.04	1.02	0.03	Homo sapiens myeloid cell leukemia sequence 1 (BCL2-related) (MCL1), transcript variant 1, mRNA.
NM_138636.2	ILMN_18406	TLR8	NaN	NaN	NaN	NaN	0.71	-0.49	0.46	-1.12	Homo sapiens toll-like receptor 8 (TLR8), transcript variant 2, mRNA.
NM_152718.1	ILMN_18416	VWCE	0.83	-0.27	1.24	0.31	2.62	1.39	2.25	1.17	Homo sapiens von Willebrand factor C and EGF domains (VWCE), mRNA.
NM_016186.1	ILMN_18419	SERPINA10	0.82	-0.29	0.93	-0.10	0.93	-0.11	0.96	-0.06	Homo sapiens serpin peptidase inhibitor, clade A (alpha-1 antiproteinase, antitrypsin), member 10 (SERPINA10), mRNA.
NM_006231.2	ILMN_18431	POLE	NaN	NaN	NaN	NaN	2.03	1.02	3.82	1.93	Homo sapiens polymerase (DNA directed), epsilon (POLE), mRNA.
NM_005544.1	ILMN_18432	IRS1	NaN	NaN	0.51	-0.96	0.66	-0.61	0.86	-0.22	Homo sapiens insulin receptor substrate 1 (IRS1), mRNA.
NM_006841.3	ILMN_18436	SLC38A3	NaN	NaN	0.62	-0.68	1.03	0.04	1.14	0.19	Homo sapiens solute carrier family 38, member 3 (SLC38A3), mRNA.
NM_000488.2	ILMN_18442	SERPINC1	0.89	-0.16	0.99	-0.02	0.33	-1.62	0.26	-1.97	Homo sapiens serpin peptidase inhibitor, clade C (antithrombin), member 1 (SERPINC1), mRNA.
NM_003819.2	ILMN_18446	PABPC4	1.31	0.39	1.45	0.53	1.10	0.14	1.21	0.28	Homo sapiens poly(A) binding protein, cytoplasmic 4 (inducible form) (PABPC4), mRNA.
NM_016035.1	ILMN_18451	COQ4	1.65	0.72	1.31	0.39	1.04	0.06	1.15	0.20	Homo sapiens coenzyme Q4 homolog (yeast) (COQ4), mRNA.
NM_024667.1	ILMN_18457	VPS37B	0.99	-0.01	1.07	0.10	0.96	-0.06	0.97	-0.04	Homo sapiens vacuolar protein sorting 37B (yeast) (VPS37B), mRNA.
NM_017883.3	ILMN_18458	WDR13	0.85	-0.24	0.74	-0.44	0.80	-0.33	0.69	-0.54	Homo sapiens WD repeat domain 13 (WDR13), mRNA.
NM_145266.4	ILMN_18475	NUDCD2	0.51	-0.96	0.59	-0.76	0.76	-0.39	0.79	-0.34	Homo sapiens NudC domain containing 2 (NUDCD2), mRNA.
NM_024604.1	ILMN_18478	FLJ21908	1.32	0.40	0.94	-0.09	1.04	0.06	0.98	-0.04	Homo sapiens hypothetical protein FLJ21908 (FLJ21908), mRNA.
NM_018959.2	ILMN_1850	DAZAP1	0.99	-0.01	1.11	0.15	1.02	0.03	0.92	-0.11	Homo sapiens DAZ associated protein 1 (DAZAP1), transcript variant 2, mRNA.
NM_138444.2	ILMN_18501	KCTD12	3.89	1.96	3.15	1.66	1.35	0.43	2.03	1.02	Homo sapiens potassium channel tetramerisation domain containing 12 (KCTD12), mRNA.
NM_006459.2	ILMN_18502	SPFH1	0.40	-1.33	0.43	-1.23	0.91	-0.14	0.82	-0.28	Homo sapiens SPFH domain family, member 1 (SPFH1), mRNA.
NM_015104.1	ILMN_18505	KIAA0404	0.68	-0.56	0.71	-0.49	1.49	0.57	1.33	0.41	Homo sapiens hypothetical protein LOC23130 (KIAA0404), mRNA.
NM_002004.2	ILMN_18516	FDPS	0.65	-0.62	1.19	0.25	0.61	-0.70	0.86	-0.21	Homo sapiens farnesyl diphosphate synthase (farnesyl pyrophosphate synthetase, dimethylallyltranstransferase, geranyltranstransferase) (FDPS), mRNA.
NM_052817.1	ILMN_18521	MID2	1.79	0.84	0.94	-0.09	1.03	0.05	0.99	-0.02	Homo sapiens midline 2 (MID2), transcript variant 2, mRNA.
NM_006761.3	ILMN_18524	YWHAE	0.62	-0.68	0.71	-0.50	1.09	0.13	0.93	-0.11	Homo sapiens tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, epsilon polypeptide (YWHAE), mRNA.
NM_032574.2	ILMN_18534	LOC84661	0.31	-1.70	0.36	-1.48	0.86	-0.22	0.77	-0.38	Homo sapiens dpy-30-like protein (LOC84661), mRNA.
NR_002196.1	ILMN_18538	H19	0.54	-0.89	0.41	-1.29	1.38	0.47	0.85	-0.23	Homo sapiens H19, imprinted maternally expressed untranslated mRNA (H19) on chromosome 11.
NM_001024958.1	ILMN_18543	BRMS1	0.86	-0.22	0.69	-0.54	0.82	-0.29	0.89	-0.17	Homo sapiens breast cancer metastasis suppressor 1 (BRMS1), transcript variant 3, mRNA.
NM_138278.1	ILMN_18546	BNIPL	NaN	NaN	0.61	-0.72	0.93	-0.10	1.74	0.80	Homo sapiens BCL2/adenovirus E1B 19kD interacting protein like (BNIPL), transcript variant 1, mRNA.
NM_025133.3	ILMN_18553	FBXO11	1.02	0.02	0.85	-0.23	1.15	0.20	1.22	0.28	Homo sapiens F-box protein 11 (FBXO11), transcript variant 1, mRNA.
NM_052968.3	ILMN_18555	APOA5	0.04	-4.49	0.06	-4.13	2.87	1.52	3.04	1.60	Homo sapiens apolipoprotein A-V (APOA5), mRNA.
NM_013451.2	ILMN_18562	FER1L3	0.49	-1.04	1.38	0.46	1.15	0.20	1.15	0.21	Homo sapiens fer-1-like 3, myoferlin (C. elegans) (FER1L3), transcript variant 1, mRNA.
NM_020706.1	ILMN_18564	SFRS15	1.17	0.22	1.23	0.30	0.87	-0.21	1.00	0.00	Homo sapiens splicing factor, arginine/serine-rich 15 (SFRS15), mRNA.
NM_014966.2	ILMN_18565	DHX30	1.19	0.25	1.24	0.31	1.04	0.06	1.10	0.13	Homo sapiens DEAH (Asp-Glu-Ala-His) box polypeptide 30 (DHX30), transcript variant 2, mRNA.
NM_024513.1	ILMN_18567	FYCO1	0.65	-0.62	0.71	-0.48	0.81	-0.31	0.78	-0.35	Homo sapiens FYVE and coiled-coil domain containing 1 (FYCO1), mRNA.
NM_022566.1	ILMN_18570	MESDC1	5.20	2.38	3.97	1.99	2.80	1.49	4.98	2.32	Homo sapiens mesoderm development candidate 1 (MESDC1), mRNA.
NM_018242.2	ILMN_18578	FLJ10847	1.13	0.17	0.72	-0.46	0.71	-0.49	0.48	-1.05	Homo sapiens hypothetical protein FLJ10847 (FLJ10847), mRNA.
NM_006029.4	ILMN_18607	PNMA1	1.12	0.17	1.31	0.39	1.54	0.63	1.33	0.41	Homo sapiens paraneoplastic antigen MA1 (PNMA1), mRNA.
NM_001013640.1	ILMN_18613	LOC388503	0.62	-0.70	0.87	-0.19	0.81	-0.30	1.32	0.40	Homo sapiens similar to Complement C3 precursor (LOC388503), mRNA.
NM_031426.2	ILMN_18617	C9orf58	0.65	-0.63	0.61	-0.70	0.90	-0.16	0.66	-0.61	Homo sapiens chromosome 9 open reading frame 58 (C9orf58), transcript variant 1, mRNA.
NM_181773.2	ILMN_18618	ARP10	NaN	NaN	1.20	0.27	NaN	NaN	NaN	NaN	Homo sapiens ARP10 protein (ARP10), mRNA.
NM_152553.2	ILMN_18623	IBRDC1	0.83	-0.27	0.79	-0.34	1.38	0.46	1.14	0.18	Homo sapiens IBR domain containing 1 (IBRDC1), mRNA.
NM_002525.1	ILMN_1863	NRD1	0.93	-0.11	1.02	0.03	0.89	-0.17	1.02	0.03	Homo sapiens nardilysin (N-arginine dibasic convertase) (NRD1), mRNA.
NM_000310.2	ILMN_18632	PPT1	0.38	-1.40	0.59	-0.77	0.70	-0.51	0.66	-0.60	Homo sapiens palmitoyl-protein thioesterase 1 (ceroid-lipofuscinosis, neuronal 1, infantile) (PPT1), mRNA.
NM_019594.2	ILMN_18635	LRRC8A	0.97	-0.05	0.84	-0.25	1.89	0.92	2.42	1.27	Homo sapiens leucine rich repeat containing 8 family, member A (LRRC8A), mRNA.
NM_012258.2	ILMN_18641	HEY1	0.43	-1.20	0.39	-1.35	1.33	0.41	1.82	0.86	Homo sapiens hairy/enhancer-of-split related with YRPW motif 1 (HEY1), mRNA.
NM_001002017.1	ILMN_18642	HCFC1R1	0.42	-1.25	0.70	-0.52	0.81	-0.30	0.71	-0.49	Homo sapiens host cell factor C1 regulator 1 (XPO1 dependent) (HCFC1R1), transcript variant 2, mRNA.
NM_022475.1	ILMN_18643	HHIP	0.46	-1.12	0.30	-1.75	1.07	0.10	0.46	-1.12	Homo sapiens hedgehog interacting protein (HHIP), mRNA.
NM_014366.4	ILMN_18645	GNL3	0.99	-0.01	1.17	0.23	0.69	-0.53	0.73	-0.45	Homo sapiens guanine nucleotide binding protein-like 3 (nucleolar) (GNL3), transcript variant 1, mRNA.
NM_002087.2	ILMN_18655	GRN	0.71	-0.49	0.92	-0.12	0.90	-0.14	1.00	0.00	Homo sapiens granulin (GRN), transcript variant 1, mRNA.
NM_001456.1	ILMN_18658	FLNA	NaN	NaN	NaN	NaN	1.23	0.30	1.36	0.44	Homo sapiens filamin A, alpha (actin binding protein 280) (FLNA), mRNA.
NM_153182.1	ILMN_18661	MINA	1.17	0.22	1.54	0.63	1.00	0.00	1.12	0.17	Homo sapiens MYC induced nuclear antigen (MINA), transcript variant 3, mRNA.
NM_007111.3	ILMN_18662	TFDP1	0.90	-0.15	0.72	-0.48	1.03	0.04	1.25	0.32	Homo sapiens transcription factor Dp-1 (TFDP1), mRNA.
NM_031280.2	ILMN_18667	MRPS15	0.85	-0.24	0.87	-0.20	0.78	-0.35	0.84	-0.25	Homo sapiens mitochondrial ribosomal protein S15 (MRPS15), nuclear gene encoding mitochondrial protein, mRNA.
NM_001643.1	ILMN_18670	APOA2	0.77	-0.37	0.81	-0.31	0.81	-0.31	1.07	0.09	Homo sapiens apolipoprotein A-II (APOA2), mRNA.
NM_001343.1	ILMN_18672	DAB2	1.11	0.15	1.04	0.06	1.94	0.95	1.59	0.67	Homo sapiens disabled homolog 2, mitogen-responsive phosphoprotein (Drosophila) (DAB2), mRNA.
NM_002346.1	ILMN_18673	LY6E	0.32	-1.62	0.64	-0.64	1.23	0.30	1.28	0.36	Homo sapiens lymphocyte antigen 6 complex, locus E (LY6E), mRNA.
NM_032478.2	ILMN_18679	MRPL38	0.45	-1.17	1.68	0.75	0.98	-0.02	0.65	-0.61	Homo sapiens mitochondrial ribosomal protein L38 (MRPL38), nuclear gene encoding mitochondrial protein, mRNA.
NM_006345.3	ILMN_1868	SLC30A9	0.64	-0.65	NaN	NaN	NaN	NaN	1.67	0.74	Homo sapiens solute carrier family 30 (zinc transporter), member 9 (SLC30A9), mRNA.
NM_021727.3	ILMN_18681	FADS3	2.95	1.56	1.60	0.68	1.90	0.93	1.67	0.74	Homo sapiens fatty acid desaturase 3 (FADS3), mRNA.
NM_025079.1	ILMN_18682	ZC3H12A	21.01	4.39	12.43	3.64	1.42	0.50	1.60	0.67	Homo sapiens zinc finger CCCH-type containing 12A (ZC3H12A), mRNA.
NM_022374.1	ILMN_18684	ARL6IP2	1.30	0.38	1.08	0.10	1.25	0.32	1.34	0.42	Homo sapiens ADP-ribosylation factor-like 6 interacting protein 2 (ARL6IP2), mRNA.
NM_002412.2	ILMN_18705	MGMT	0.64	-0.65	0.85	-0.24	0.54	-0.89	0.50	-1.01	Homo sapiens O-6-methylguanine-DNA methyltransferase (MGMT), mRNA.
NM_030818.2	ILMN_1871	MGC10471	0.82	-0.28	0.77	-0.37	1.13	0.17	1.10	0.14	Homo sapiens hypothetical protein MGC10471 (MGC10471), mRNA.
NM_014622.4	ILMN_18718	LOH11CR2A	NaN	NaN	0.28	-1.84	0.74	-0.43	0.27	-1.87	Homo sapiens loss of heterozygosity, 11, chromosomal region 2, gene A (LOH11CR2A), transcript variant 1, mRNA.
NM_003161.2	ILMN_1872	RPS6KB1	1.10	0.14	1.07	0.10	0.73	-0.45	0.77	-0.37	Homo sapiens ribosomal protein S6 kinase, 70kDa, polypeptide 1 (RPS6KB1), mRNA.
NM_031431.2	ILMN_18720	COG3	1.44	0.53	1.23	0.30	0.85	-0.24	0.78	-0.37	Homo sapiens component of oligomeric golgi complex 3 (COG3), mRNA.
NM_133636.1	ILMN_18722	HEL308	0.83	-0.26	0.68	-0.55	0.62	-0.70	0.67	-0.59	Homo sapiens DNA helicase HEL308 (HEL308), mRNA.
NM_030589.2	ILMN_18727	CYP2A7	0.95	-0.07	0.68	-0.55	0.73	-0.46	0.89	-0.17	Homo sapiens cytochrome P450, family 2, subfamily A, polypeptide 7 (CYP2A7), transcript variant 2, mRNA.
NM_013402.3	ILMN_18738	FADS1	1.50	0.59	1.60	0.68	0.85	-0.23	1.60	0.68	Homo sapiens fatty acid desaturase 1 (FADS1), mRNA.
NM_033505.1	ILMN_18750	SELI	1.83	0.87	1.69	0.76	0.67	-0.57	0.64	-0.65	Homo sapiens selenoprotein I (SELI), mRNA.
NM_005224.1	ILMN_18757	ARID3A	2.91	1.54	1.82	0.87	2.12	1.08	1.74	0.80	Homo sapiens AT rich interactive domain 3A (BRIGHT- like) (ARID3A), mRNA.
NM_001953.2	ILMN_18760	ECGF1	2.38	1.25	2.21	1.15	4.17	2.06	5.10	2.35	Homo sapiens endothelial cell growth factor 1 (platelet-derived) (ECGF1), mRNA.
NM_014291.2	ILMN_18761	GCAT	0.39	-1.34	0.54	-0.90	0.53	-0.91	0.54	-0.89	Homo sapiens glycine C-acetyltransferase (2-amino-3-ketobutyrate coenzyme A ligase) (GCAT), nuclear gene encoding mitochondrial protein, mRNA.
NM_181900.2	ILMN_18773	STARD5	0.67	-0.59	1.11	0.15	0.83	-0.27	0.63	-0.66	Homo sapiens START domain containing 5 (STARD5), transcript variant 1, mRNA.
